,3P,3PA,3PPct,AST,BLK,Date,FG,FGA,FGPct,FT,FTA,FTPct,ORB,Opp,Opp3P,Opp3PA,Opp3PPct,OppAST,OppBLK,OppFG,OppFGA,OppFGPct,OppFT,OppFTA,OppFTPct,OppORB,OppPF,OppPts,OppSTL,OppTOV,OppTRB,PF,Result,STL,Season,TOV,TRB,Team,TmPts,loc,OppLC
101556,10.0,23.0,0.435,15.0,0.0,2020-03-07,30.0,62.0,0.484,12.0,15.0,0.8,10.0,Valparaiso,9.0,24.0,0.375,20.0,0.0,29.0,60.0,0.483,22.0,31.0,0.71,9.0,16.0,89.0,8.0,5.0,30.0,25.0,L,3.0,2020,10.0,36.0,missouri-state,82.0,N,valparaiso
101558,6.0,16.0,0.375,12.0,2.0,2019-11-09,27.0,56.0,0.48200000000000004,25.0,35.0,0.7140000000000001,6.0,Loyola (MD),11.0,31.0,0.355,22.0,2.0,32.0,63.0,0.508,23.0,29.0,0.7929999999999999,7.0,24.0,98.0,6.0,10.0,31.0,23.0,L,6.0,2020,16.0,30.0,chicago-state,85.0,,loyola-md
101559,1.0,13.0,0.077,4.0,4.0,2019-11-12,11.0,47.0,0.23399999999999999,11.0,18.0,0.611,2.0,Eastern Illinois,9.0,23.0,0.391,29.0,3.0,35.0,72.0,0.486,19.0,23.0,0.826,13.0,18.0,98.0,12.0,10.0,45.0,18.0,L,4.0,2020,26.0,29.0,chicago-state,34.0,@,eastern-illinois
101560,6.0,19.0,0.316,11.0,1.0,2019-11-16,18.0,49.0,0.3670000000000001,7.0,11.0,0.636,6.0,Purdue,11.0,36.0,0.306,24.0,5.0,35.0,70.0,0.5,12.0,17.0,0.706,20.0,10.0,93.0,7.0,8.0,44.0,17.0,L,2.0,2020,17.0,20.0,chicago-state,49.0,@,purdue
101563,3.0,14.0,0.214,3.0,0.0,2019-11-25,19.0,52.0,0.365,15.0,26.0,0.5770000000000001,10.0,Florida State,10.0,23.0,0.435,21.0,3.0,38.0,58.0,0.655,27.0,31.0,0.871,14.0,23.0,113.0,13.0,16.0,42.0,21.0,L,9.0,2020,22.0,18.0,chicago-state,56.0,@,florida-state
101564,6.0,17.0,0.353,9.0,4.0,2019-11-29,23.0,48.0,0.479,10.0,17.0,0.588,4.0,Jacksonville State,10.0,22.0,0.455,16.0,1.0,24.0,49.0,0.49,13.0,18.0,0.722,3.0,19.0,71.0,8.0,18.0,26.0,23.0,L,8.0,2020,21.0,27.0,chicago-state,62.0,N,jacksonville-state
101565,3.0,21.0,0.14300000000000002,6.0,6.0,2019-11-30,17.0,47.0,0.36200000000000004,17.0,21.0,0.81,4.0,Alabama State,5.0,21.0,0.23800000000000002,10.0,4.0,21.0,57.0,0.368,20.0,25.0,0.8,8.0,20.0,67.0,13.0,18.0,29.0,23.0,L,10.0,2020,28.0,29.0,chicago-state,54.0,N,alabama-state
101566,8.0,16.0,0.5,19.0,2.0,2019-12-04,28.0,48.0,0.583,25.0,27.0,0.9259999999999999,3.0,SIU-Edwardsville,12.0,24.0,0.5,19.0,0.0,27.0,64.0,0.42200000000000004,15.0,28.0,0.536,12.0,21.0,81.0,5.0,9.0,26.0,27.0,W,6.0,2020,14.0,29.0,chicago-state,89.0,@,southern-illinois-edwardsville
101567,13.0,26.0,0.5,6.0,3.0,2019-12-06,23.0,56.0,0.41100000000000003,15.0,17.0,0.882,7.0,Tennessee State,5.0,21.0,0.23800000000000002,18.0,3.0,26.0,54.0,0.48100000000000004,23.0,31.0,0.742,11.0,18.0,80.0,7.0,14.0,35.0,23.0,L,2.0,2020,17.0,29.0,chicago-state,74.0,@,tennessee-state
101568,6.0,21.0,0.28600000000000003,8.0,1.0,2019-12-17,19.0,50.0,0.38,15.0,20.0,0.75,8.0,Oral Roberts,11.0,25.0,0.44,16.0,1.0,31.0,57.0,0.544,24.0,30.0,0.8,8.0,18.0,97.0,10.0,8.0,31.0,25.0,L,3.0,2020,16.0,24.0,chicago-state,59.0,,oral-roberts
101569,6.0,21.0,0.28600000000000003,12.0,3.0,2019-12-19,20.0,56.0,0.35700000000000004,14.0,16.0,0.875,7.0,Northern Illinois,5.0,21.0,0.23800000000000002,9.0,3.0,23.0,57.0,0.40399999999999997,24.0,36.0,0.667,8.0,19.0,75.0,8.0,8.0,29.0,28.0,L,4.0,2020,15.0,31.0,chicago-state,60.0,,northern-illinois
101570,6.0,20.0,0.3,8.0,3.0,2019-12-22,26.0,62.0,0.419,6.0,10.0,0.6,8.0,Indiana State,7.0,15.0,0.467,14.0,4.0,30.0,55.0,0.545,18.0,28.0,0.643,5.0,12.0,85.0,9.0,14.0,31.0,21.0,L,6.0,2020,18.0,30.0,chicago-state,64.0,@,indiana-state
101571,2.0,17.0,0.11800000000000001,4.0,2.0,2019-12-30,11.0,45.0,0.244,9.0,14.0,0.643,8.0,Missouri,16.0,31.0,0.516,19.0,3.0,33.0,62.0,0.532,9.0,10.0,0.9,11.0,16.0,91.0,14.0,12.0,38.0,14.0,L,5.0,2020,24.0,26.0,chicago-state,33.0,@,missouri
101572,5.0,18.0,0.278,9.0,3.0,2020-01-02,23.0,59.0,0.39,22.0,28.0,0.7859999999999999,8.0,Utah Valley,9.0,17.0,0.529,20.0,3.0,35.0,57.0,0.614,15.0,26.0,0.5770000000000001,5.0,20.0,94.0,5.0,7.0,35.0,22.0,L,4.0,2020,10.0,31.0,chicago-state,73.0,,utah-valley
101573,3.0,16.0,0.188,10.0,4.0,2020-01-04,18.0,55.0,0.327,15.0,21.0,0.7140000000000001,10.0,Seattle,14.0,35.0,0.4,15.0,3.0,22.0,64.0,0.344,28.0,33.0,0.848,12.0,20.0,86.0,7.0,8.0,40.0,26.0,L,6.0,2020,21.0,40.0,chicago-state,54.0,,seattle
101574,5.0,19.0,0.263,11.0,0.0,2020-01-09,16.0,50.0,0.32,17.0,21.0,0.81,6.0,New Mexico State,16.0,34.0,0.47100000000000003,24.0,1.0,29.0,59.0,0.4920000000000001,19.0,25.0,0.76,7.0,19.0,93.0,12.0,10.0,38.0,21.0,L,4.0,2020,18.0,28.0,chicago-state,54.0,@,new-mexico-state
101575,4.0,9.0,0.444,15.0,6.0,2020-01-11,21.0,41.0,0.512,17.0,28.0,0.607,2.0,Texas-Rio Grande Valley,9.0,24.0,0.375,24.0,2.0,31.0,65.0,0.47700000000000004,16.0,21.0,0.762,10.0,22.0,87.0,15.0,11.0,33.0,18.0,L,2.0,2020,22.0,25.0,chicago-state,63.0,@,texas-pan-american
101576,10.0,20.0,0.5,18.0,0.0,2020-01-16,21.0,46.0,0.457,12.0,16.0,0.75,5.0,Grand Canyon,9.0,15.0,0.6,16.0,1.0,25.0,44.0,0.568,19.0,25.0,0.76,5.0,16.0,78.0,5.0,12.0,24.0,16.0,L,5.0,2020,10.0,19.0,chicago-state,64.0,,grand-canyon
101577,6.0,15.0,0.4,8.0,2.0,2020-01-19,15.0,36.0,0.41700000000000004,18.0,22.0,0.818,0.0,Cal State Bakersfield,8.0,17.0,0.47100000000000003,14.0,1.0,26.0,51.0,0.51,12.0,16.0,0.75,10.0,21.0,72.0,5.0,11.0,32.0,14.0,L,3.0,2020,16.0,15.0,chicago-state,54.0,,cal-state-bakersfield
101578,4.0,16.0,0.25,7.0,5.0,2020-01-22,19.0,50.0,0.38,11.0,17.0,0.647,8.0,California Baptist,8.0,26.0,0.308,14.0,3.0,32.0,66.0,0.485,13.0,21.0,0.619,16.0,18.0,85.0,4.0,6.0,40.0,27.0,L,3.0,2020,15.0,28.0,chicago-state,53.0,@,california-baptist
101579,2.0,15.0,0.133,8.0,2.0,2020-02-01,15.0,38.0,0.395,19.0,26.0,0.731,6.0,UMKC,8.0,15.0,0.5329999999999999,13.0,0.0,21.0,46.0,0.457,19.0,23.0,0.826,7.0,23.0,69.0,12.0,13.0,25.0,17.0,L,8.0,2020,17.0,23.0,chicago-state,51.0,,missouri-kansas-city
101580,4.0,11.0,0.364,8.0,1.0,2020-02-06,18.0,39.0,0.462,9.0,14.0,0.643,1.0,New Mexico State,9.0,28.0,0.321,13.0,0.0,23.0,50.0,0.46,16.0,20.0,0.8,9.0,14.0,71.0,5.0,11.0,32.0,22.0,L,4.0,2020,15.0,14.0,chicago-state,49.0,,new-mexico-state
